order,conditionedCat,trial,stim_cat_enc,stim_number_enc,stim_cat_left,stim_number_left,stim_name_left,stim_cat_superord_left,stim_cat_right,stim_number_right,stim_name_right,stim_cat_superord_right,corr_cat,corr_resp
4,1,1,1,111,1,41,stimuli/animals/monkey.jpg,Mammals,1,111,stimuli/animals/cockatiel.jpg,Birds,1,2
4,1,2,1,60,1,60,stimuli/animals/alligator.jpg,ReptilesAmph,1,87,stimuli/animals/wildabeast.jpg,Mammals,1,1
4,1,3,2,246,2,246,stimuli/tools/plunger.jpg,Household,2,299,stimuli/tools/coathanger.jpg,Household,2,1
4,1,4,2,334,2,334,stimuli/tools/tubeflaring.jpg,Toolbox,2,329,stimuli/tools/auger.jpg,Toolbox,2,1
4,1,5,1,88,1,88,stimuli/animals/blackleopard.jpg,Mammals,1,52,stimuli/animals/otter.jpg,Mammals,1,1
4,1,6,2,290,2,272,stimuli/tools/sawblade.jpg,Toolbox,2,290,stimuli/tools/stroller.jpg,Household,2,2
4,1,7,1,131,1,131,stimuli/animals/hermitcrab.jpg,SeaDwellers,1,165,stimuli/animals/caterpillar.jpg,Invertebrates,1,1
4,1,8,2,306,2,201,stimuli/tools/electricdrill.jpg,Powertools,2,306,stimuli/tools/floorbuffer.jpg,Household,2,2
4,1,9,1,162,1,162,stimuli/animals/dragonfly.jpg,Invertebrates,1,12,stimuli/animals/racoon.jpg,Mammals,1,1
4,1,10,1,100,1,100,stimuli/animals/finch.jpg,Birds,1,66,stimuli/animals/peacock.jpg,Birds,1,1
4,1,11,1,147,1,147,stimuli/animals/beardeddragon.jpg,ReptilesAmph,1,51,stimuli/animals/meerkat.jpg,Mammals,1,1
4,1,12,2,300,2,255,stimuli/tools/dremel.jpg,Toolbox,2,300,stimuli/tools/digitalcamera.jpg,Devices,2,2
4,1,13,1,171,1,171,stimuli/animals/woodlouse.jpg,Invertebrates,1,36,stimuli/animals/seal.jpg,SeaDwellers,1,1
4,1,14,2,243,2,307,stimuli/tools/anvil.jpg,Toolbox,2,243,stimuli/tools/tongs.jpg,Household,2,2
4,1,15,2,282,2,244,stimuli/tools/mallet.jpg,Toolbox,2,282,stimuli/tools/keys.jpg,Household,2,2
4,1,16,2,294,2,237,stimuli/tools/computermouse.jpg,Devices,2,294,stimuli/tools/fertilzerspread.jpg,Household,2,2
4,1,17,1,61,1,79,stimuli/animals/deer.jpg,Mammals,1,61,stimuli/animals/chipmunk.jpg,Mammals,1,2
4,1,18,1,38,1,38,stimuli/animals/fox.jpg,Mammals,1,26,stimuli/animals/rhino.jpg,Mammals,1,1
4,1,19,1,135,1,135,stimuli/animals/highlandcow.jpg,Mammals,1,149,stimuli/animals/quail.jpg,Birds,1,1
