order,conditionedCat,trial,stim_cat_enc,stim_number_enc,stim_name_enc,stim_cat_left,stim_number_left,stim_name_left,stim_cat_superord_left,stim_cat_right,stim_number_right,stim_name_right,stim_cat_superord_right,corr_cat,corr_resp,corr_image,corr_reward
8,2,1,1,24,stimuli/animals/mouse.jpg,1,24,stimuli/animals/mouse.jpg,Mammals,1,81,stimuli/animals/ostrich.jpg,Birds,1,1,stimuli/cues/cue_white.jpg,1
8,2,2,2,181,stimuli/tools/hammer.jpg,2,324,stimuli/tools/lighterbic.jpg,Household,2,181,stimuli/tools/hammer.jpg,Toolbox,2,2,stimuli/cues/cue_green.jpg,5
8,2,3,1,16,stimuli/animals/dolphin.jpg,1,11,stimuli/animals/elephantafrican.jpg,Mammals,1,16,stimuli/animals/dolphin.jpg,SeaDwellers,1,2,stimuli/cues/cue_white.jpg,1
8,2,4,1,21,stimuli/animals/wolf.jpg,1,21,stimuli/animals/wolf.jpg,Mammals,1,162,stimuli/animals/dragonfly.jpg,Invertebrates,1,1,stimuli/cues/cue_white.jpg,1
8,2,5,2,188,stimuli/tools/bolt.jpg,2,188,stimuli/tools/bolt.jpg,Toolbox,2,303,stimuli/tools/stethoscope.jpg,Household,2,1,stimuli/cues/cue_green.jpg,5
8,2,6,2,345,stimuli/tools/sewingmachine.jpg,2,345,stimuli/tools/sewingmachine.jpg,Household,2,260,stimuli/tools/carjack.jpg,Toolbox,2,1,stimuli/cues/cue_green.jpg,5
8,2,7,1,28,stimuli/animals/duck.jpg,1,28,stimuli/animals/duck.jpg,Birds,1,176,stimuli/animals/firebug.jpg,Invertebrates,1,1,stimuli/cues/cue_white.jpg,1
8,2,8,2,278,stimuli/tools/tape.jpg,2,278,stimuli/tools/tape.jpg,Household,2,236,stimuli/tools/chisel.jpg,Toolbox,2,1,stimuli/cues/cue_green.jpg,5
8,2,9,1,39,stimuli/animals/gorilla.jpg,1,121,stimuli/animals/chinchilla.jpg,Mammals,1,39,stimuli/animals/gorilla.jpg,Mammals,1,2,stimuli/cues/cue_white.jpg,1
8,2,10,2,230,stimuli/tools/sponge.jpg,2,230,stimuli/tools/sponge.jpg,Household,2,204,stimuli/tools/spoon.jpg,Household,2,1,stimuli/cues/cue_green.jpg,5
8,2,11,1,40,stimuli/animals/chimp.jpg,1,40,stimuli/animals/chimp.jpg,Mammals,1,49,stimuli/animals/llama.jpg,Mammals,1,1,stimuli/cues/cue_white.jpg,1
8,2,12,1,84,stimuli/animals/goldfish.jpg,1,84,stimuli/animals/goldfish.jpg,SeaDwellers,1,35,stimuli/animals/salmon.jpg,SeaDwellers,1,1,stimuli/cues/cue_white.jpg,1
