order,conditionedCat,trial,stim_cat_num,stim_number,stim_name,stim_cat_superord,stim_oldnew,stim_firstphase
7,2,1,1,78,stimuli/animals/canary.jpg,Birds,2,3
7,2,2,1,138,stimuli/animals/angelfish.jpg,SeaDwellers,1,1
7,2,3,2,246,stimuli/tools/plunger.jpg,Household,1,2
7,2,4,2,329,stimuli/tools/auger.jpg,Toolbox,1,1
7,2,5,2,255,stimuli/tools/dremel.jpg,Toolbox,1,2
7,2,6,2,341,stimuli/tools/caliper.jpg,Toolbox,2,3
7,2,7,2,225,stimuli/tools/gardenhose.jpg,Household,2,3
7,2,8,2,277,stimuli/tools/spraybottle.jpg,Household,1,2
7,2,9,2,306,stimuli/tools/floorbuffer.jpg,Household,2,3
7,2,10,2,252,stimuli/tools/paintroller.jpg,Household,2,3
7,2,11,2,285,stimuli/tools/pick.jpg,Toolbox,2,3
7,2,12,1,31,stimuli/animals/ram.jpg,Mammals,2,3
7,2,13,1,114,stimuli/animals/snapper.jpg,SeaDwellers,2,3
7,2,14,1,8,stimuli/animals/lion.jpg,Mammals,2,3
7,2,15,1,79,stimuli/animals/deer.jpg,Mammals,1,1
7,2,16,1,85,stimuli/animals/hummingbird.jpg,Birds,1,2
7,2,17,1,7,stimuli/animals/sheep.jpg,Mammals,1,1
7,2,18,1,67,stimuli/animals/waterbuffalo.jpg,Mammals,2,3
7,2,19,2,327,stimuli/tools/sparkplug.jpg,Toolbox,1,2
7,2,20,2,357,stimuli/tools/washboard.jpg,Household,1,1
7,2,21,1,120,stimuli/animals/sugarglider.jpg,Mammals,1,2
7,2,22,2,347,stimuli/tools/blackboard.jpg,Household,2,3
7,2,23,1,72,stimuli/animals/koala.jpg,Mammals,2,3
7,2,24,2,250,stimuli/tools/laptop.jpg,Devices,2,3
7,2,25,1,131,stimuli/animals/hermitcrab.jpg,SeaDwellers,2,3
7,2,26,2,240,stimuli/tools/rollingpin.jpg,Household,2,3
7,2,27,2,330,stimuli/tools/foodprocessor.jpg,Household,2,3
7,2,28,2,242,stimuli/tools/thermometer.jpg,Household,2,3
7,2,29,1,73,stimuli/animals/pike.jpg,SeaDwellers,1,2
7,2,30,2,216,stimuli/tools/viceclamp.jpg,Toolbox,2,3
7,2,31,2,318,stimuli/tools/stopwatch.jpg,Devices,1,2
7,2,32,2,305,stimuli/tools/whistle.jpg,Household,2,3
7,2,33,1,21,stimuli/animals/wolf.jpg,Mammals,1,2
7,2,34,1,10,stimuli/animals/chicken.jpg,Birds,2,3
7,2,35,2,359,stimuli/tools/electricpipethreader.jpg,Powertools,2,3
7,2,36,1,53,stimuli/animals/baldeagle.jpg,Birds,2,3
7,2,37,2,257,stimuli/tools/hairbrush.jpg,Household,2,3
7,2,38,1,18,stimuli/animals/macaw.jpg,Birds,2,3
7,2,39,2,205,stimuli/tools/wheelbarrow.jpg,Household,1,2
7,2,40,1,104,stimuli/animals/lemur.jpg,Mammals,2,3
7,2,41,1,108,stimuli/animals/carp.jpg,SeaDwellers,1,2
7,2,42,2,239,stimuli/tools/iron.jpg,Household,2,3
7,2,43,2,218,stimuli/tools/drillbit.jpg,Powertools,1,1
7,2,44,2,213,stimuli/tools/sledgehammer.jpg,Toolbox,2,3
7,2,45,1,106,stimuli/animals/seahorse.jpg,SeaDwellers,1,2
7,2,46,1,51,stimuli/animals/meerkat.jpg,Mammals,1,1
7,2,47,2,289,stimuli/tools/sprinkler.jpg,Household,1,1
7,2,48,1,171,stimuli/animals/woodlouse.jpg,Invertebrates,2,3
7,2,49,2,267,stimuli/tools/corkscrew.jpg,Household,1,2
7,2,50,2,309,stimuli/tools/carabiner.jpg,Toolbox,1,1
7,2,51,1,178,stimuli/animals/beetle.jpg,Invertebrates,1,1
7,2,52,2,297,stimuli/tools/nails.jpg,Toolbox,2,3
7,2,53,1,93,stimuli/animals/gerbil.jpg,Mammals,1,1
7,2,54,2,343,stimuli/tools/duster.jpg,Household,2,3
7,2,55,1,39,stimuli/animals/gorilla.jpg,Mammals,1,1
7,2,56,1,113,stimuli/animals/moth.jpg,Invertebrates,2,3
