order,conditionedCat,trial,stim_cat_enc,stim_number_enc,stim_cat_left,stim_number_left,stim_name_left,stim_cat_superord_left,stim_cat_right,stim_number_right,stim_name_right,stim_cat_superord_right,corr_cat,corr_resp
2,1,1,1,106,1,106,stimuli/animals/seahorse.jpg,SeaDwellers,1,21,stimuli/animals/wolf.jpg,Mammals,1,1
2,1,2,2,343,2,343,stimuli/tools/duster.jpg,Household,2,330,stimuli/tools/foodprocessor.jpg,Household,2,1
2,1,3,1,151,1,151,stimuli/animals/flounder.jpg,SeaDwellers,1,14,stimuli/animals/tiger.jpg,Mammals,1,1
2,1,4,2,296,2,296,stimuli/tools/handdrill.jpg,Toolbox,2,288,stimuli/tools/snowbrush.jpg,Powertools,2,1
2,1,5,1,172,1,172,stimuli/animals/plantbug.jpg,Invertebrates,1,97,stimuli/animals/hedgehog.jpg,Mammals,1,1
2,1,6,2,306,2,354,stimuli/tools/typewriter.jpg,Household,2,306,stimuli/tools/floorbuffer.jpg,Household,2,2
2,1,7,1,81,1,81,stimuli/animals/ostrich.jpg,Birds,1,129,stimuli/animals/emu.jpg,Birds,1,1
2,1,8,2,256,2,232,stimuli/tools/umbrella.jpg,Household,2,256,stimuli/tools/drillpress.jpg,Powertools,2,2
2,1,9,1,123,1,123,stimuli/animals/earthworm.jpg,Invertebrates,1,179,stimuli/animals/seaslug.jpg,SeaDwellers,1,1
2,1,10,2,345,2,345,stimuli/tools/sewingmachine.jpg,Household,2,217,stimuli/tools/blower.jpg,Powertools,2,1
2,1,11,2,316,2,351,stimuli/tools/beaker.jpg,Household,2,316,stimuli/tools/grapplinghook.jpg,Toolbox,2,2
2,1,12,1,159,1,159,stimuli/animals/tragopan.jpg,Birds,1,76,stimuli/animals/sparrow.jpg,Birds,1,1
2,1,13,2,341,2,341,stimuli/tools/caliper.jpg,Toolbox,2,248,stimuli/tools/cart.jpg,Household,2,1
2,1,14,2,208,2,353,stimuli/tools/television.jpg,Devices,2,208,stimuli/tools/stapler.jpg,Household,2,2
2,1,15,1,120,1,115,stimuli/animals/boar.jpg,Mammals,1,120,stimuli/animals/sugarglider.jpg,Mammals,1,2
2,1,16,2,355,2,225,stimuli/tools/gardenhose.jpg,Household,2,355,stimuli/tools/telephone.jpg,Devices,2,2
2,1,17,2,332,2,332,stimuli/tools/reflexhammer.jpg,Household,2,356,stimuli/tools/videogamecontroller.jpg,Devices,2,1
2,1,18,2,222,2,222,stimuli/tools/measuringcups.jpg,Household,2,278,stimuli/tools/tape.jpg,Household,2,1
2,1,19,1,84,1,84,stimuli/animals/goldfish.jpg,SeaDwellers,1,17,stimuli/animals/leopard.jpg,Mammals,1,1
2,1,20,1,91,1,26,stimuli/animals/rhino.jpg,Mammals,1,91,stimuli/animals/bat.jpg,Mammals,1,2
2,1,21,2,325,2,325,stimuli/tools/microwave.jpg,Devices,2,221,stimuli/tools/lawnmower.jpg,Household,2,1
2,1,22,2,270,2,270,stimuli/tools/microscope.jpg,Household,2,322,stimuli/tools/walker.jpg,Household,2,1
2,1,23,1,176,1,176,stimuli/animals/firebug.jpg,Invertebrates,1,89,stimuli/animals/dove.jpg,Birds,1,1
2,1,24,2,190,2,190,stimuli/tools/ruler.jpg,Household,2,215,stimuli/tools/trowel.jpg,Toolbox,2,1
2,1,25,2,331,2,252,stimuli/tools/paintroller.jpg,Household,2,331,stimuli/tools/gentssaw.jpg,Toolbox,2,2
2,1,26,2,189,2,189,stimuli/tools/measuringtape.jpg,Toolbox,2,260,stimuli/tools/carjack.jpg,Toolbox,2,1
2,1,27,1,134,1,134,stimuli/animals/caracal.jpg,Mammals,1,162,stimuli/animals/dragonfly.jpg,Invertebrates,1,1
2,1,28,1,52,1,52,stimuli/animals/otter.jpg,Mammals,1,118,stimuli/animals/herring.jpg,SeaDwellers,1,1
2,1,29,2,359,2,359,stimuli/tools/electricpipethreader.jpg,Powertools,2,210,stimuli/tools/glove.jpg,Household,2,1
2,1,30,2,196,2,302,stimuli/tools/pencilsharpener.jpg,Devices,2,196,stimuli/tools/pruner.jpg,Toolbox,2,2
2,1,31,1,18,1,40,stimuli/animals/chimp.jpg,Mammals,1,18,stimuli/animals/macaw.jpg,Birds,1,2
2,1,32,1,60,1,80,stimuli/animals/heckcattle.jpg,Mammals,1,60,stimuli/animals/alligator.jpg,ReptilesAmph,1,2
2,1,33,2,205,2,205,stimuli/tools/wheelbarrow.jpg,Household,2,249,stimuli/tools/kettle.jpg,Household,2,1
2,1,34,2,324,2,320,stimuli/tools/tirespoon.jpg,Toolbox,2,324,stimuli/tools/lighterbic.jpg,Household,2,2
2,1,35,1,163,1,139,stimuli/animals/armadillo.jpg,Mammals,1,163,stimuli/animals/redpalmweevil.jpg,Invertebrates,1,2
2,1,36,2,269,2,269,stimuli/tools/magnifyingglass.jpg,Household,2,327,stimuli/tools/sparkplug.jpg,Toolbox,2,1
2,1,37,2,188,2,292,stimuli/tools/burnisher.jpg,Toolbox,2,188,stimuli/tools/bolt.jpg,Toolbox,2,2
2,1,38,2,313,2,313,stimuli/tools/airpump.jpg,Household,2,207,stimuli/tools/ducttape.jpg,Household,2,1
2,1,39,1,127,1,127,stimuli/animals/slug.jpg,Invertebrates,1,65,stimuli/animals/minnow.jpg,SeaDwellers,1,1
2,1,40,1,137,1,137,stimuli/animals/springhare.jpg,Mammals,1,101,stimuli/animals/ant.jpg,Invertebrates,1,1
2,1,41,1,61,1,20,stimuli/animals/shrimp.jpg,SeaDwellers,1,61,stimuli/animals/chipmunk.jpg,Mammals,1,2
2,1,42,2,206,2,245,stimuli/tools/padlock.jpg,Household,2,206,stimuli/tools/monkeywrench.jpg,Toolbox,2,2
