order,conditionedCat,trial,stim_cat_enc,stim_number_enc,stim_name_enc,stim_cat_left,stim_number_left,stim_name_left,stim_cat_superord_left,stim_cat_right,stim_number_right,stim_name_right,stim_cat_superord_right,corr_cat,corr_resp,corr_image,corr_reward
5,2,1,2,265,stimuli/tools/planer.jpg,2,242,stimuli/tools/thermometer.jpg,Household,2,265,stimuli/tools/planer.jpg,Toolbox,2,2,stimuli/cues/cue_green.jpg,5
5,2,2,1,142,stimuli/animals/palmcockatoo.jpg,1,142,stimuli/animals/palmcockatoo.jpg,Birds,1,6,stimuli/animals/pigeon.jpg,Birds,1,1,stimuli/cues/cue_white.jpg,1
5,2,3,1,79,stimuli/animals/deer.jpg,1,79,stimuli/animals/deer.jpg,Mammals,1,86,stimuli/animals/turkey.jpg,Birds,1,1,stimuli/cues/cue_white.jpg,1
5,2,4,2,347,stimuli/tools/blackboard.jpg,2,305,stimuli/tools/whistle.jpg,Household,2,347,stimuli/tools/blackboard.jpg,Household,2,2,stimuli/cues/cue_green.jpg,5
5,2,5,1,64,stimuli/animals/marmot.jpg,1,64,stimuli/animals/marmot.jpg,Mammals,1,141,stimuli/animals/gecko.jpg,ReptilesAmph,1,1,stimuli/cues/cue_white.jpg,1
5,2,6,1,118,stimuli/animals/herring.jpg,1,56,stimuli/animals/donkey.jpg,Mammals,1,118,stimuli/animals/herring.jpg,SeaDwellers,1,2,stimuli/cues/cue_white.jpg,1
5,2,7,1,51,stimuli/animals/meerkat.jpg,1,59,stimuli/animals/rainbowtrout.jpg,SeaDwellers,1,51,stimuli/animals/meerkat.jpg,Mammals,1,2,stimuli/cues/cue_white.jpg,1
5,2,8,2,315,stimuli/tools/generator.jpg,2,223,stimuli/tools/rake.jpg,Household,2,315,stimuli/tools/generator.jpg,Devices,2,2,stimuli/cues/cue_green.jpg,5
5,2,9,1,10,stimuli/animals/chicken.jpg,1,10,stimuli/animals/chicken.jpg,Birds,1,126,stimuli/animals/redpanda.jpg,Mammals,1,1,stimuli/cues/cue_white.jpg,1
5,2,10,1,104,stimuli/animals/lemur.jpg,1,104,stimuli/animals/lemur.jpg,Mammals,1,16,stimuli/animals/dolphin.jpg,SeaDwellers,1,1,stimuli/cues/cue_white.jpg,1
5,2,11,1,58,stimuli/animals/perch.jpg,1,101,stimuli/animals/ant.jpg,Invertebrates,1,58,stimuli/animals/perch.jpg,SeaDwellers,1,2,stimuli/cues/cue_white.jpg,1
5,2,12,2,326,stimuli/tools/ropeandpulley.jpg,2,326,stimuli/tools/ropeandpulley.jpg,Household,2,328,stimuli/tools/stove.jpg,Household,2,1,stimuli/cues/cue_green.jpg,5
5,2,13,2,281,stimuli/tools/file.jpg,2,204,stimuli/tools/spoon.jpg,Household,2,281,stimuli/tools/file.jpg,Household,2,2,stimuli/cues/cue_green.jpg,5
5,2,14,2,336,stimuli/tools/chainwrench.jpg,2,336,stimuli/tools/chainwrench.jpg,Toolbox,2,355,stimuli/tools/telephone.jpg,Devices,2,1,stimuli/cues/cue_green.jpg,5
5,2,15,1,138,stimuli/animals/angelfish.jpg,1,138,stimuli/animals/angelfish.jpg,SeaDwellers,1,40,stimuli/animals/chimp.jpg,Mammals,1,1,stimuli/cues/cue_white.jpg,1
5,2,16,2,251,stimuli/tools/measuringdevice.jpg,2,340,stimuli/tools/woodchipper.jpg,Powertools,2,251,stimuli/tools/measuringdevice.jpg,Toolbox,2,2,stimuli/cues/cue_green.jpg,5
5,2,17,2,310,stimuli/tools/compass.jpg,2,205,stimuli/tools/wheelbarrow.jpg,Household,2,310,stimuli/tools/compass.jpg,Toolbox,2,2,stimuli/cues/cue_green.jpg,5
5,2,18,2,280,stimuli/tools/cheesegrater.jpg,2,359,stimuli/tools/electricpipethreader.jpg,Powertools,2,280,stimuli/tools/cheesegrater.jpg,Household,2,2,stimuli/cues/cue_green.jpg,5
5,2,19,1,129,stimuli/animals/emu.jpg,1,129,stimuli/animals/emu.jpg,Birds,1,131,stimuli/animals/hermitcrab.jpg,SeaDwellers,1,1,stimuli/cues/cue_white.jpg,1
5,2,20,2,202,stimuli/tools/flashlight.jpg,2,250,stimuli/tools/laptop.jpg,Devices,2,202,stimuli/tools/flashlight.jpg,Household,2,2,stimuli/cues/cue_green.jpg,5
5,2,21,1,48,stimuli/animals/hippo.jpg,1,170,stimuli/animals/partridge.jpg,Birds,1,48,stimuli/animals/hippo.jpg,Mammals,1,2,stimuli/cues/cue_white.jpg,1
5,2,22,1,60,stimuli/animals/alligator.jpg,1,60,stimuli/animals/alligator.jpg,ReptilesAmph,1,108,stimuli/animals/carp.jpg,SeaDwellers,1,1,stimuli/cues/cue_white.jpg,1
5,2,23,2,200,stimuli/tools/clippers.jpg,2,318,stimuli/tools/stopwatch.jpg,Devices,2,200,stimuli/tools/clippers.jpg,Toolbox,2,2,stimuli/cues/cue_green.jpg,5
