order,conditionedCat,trial,stim_cat_num,stim_number,stim_name,stim_cat_superord,stim_oldnew,stim_firstphase
2,1,1,1,131,stimuli/animals/hermitcrab.jpg,SeaDwellers,1,2
2,1,2,1,66,stimuli/animals/peacock.jpg,Birds,2,3
2,1,3,2,358,stimuli/tools/crutches.jpg,Household,1,2
2,1,4,1,45,stimuli/animals/moose.jpg,Mammals,2,3
2,1,5,1,148,stimuli/animals/cranebug.jpg,Invertebrates,2,3
2,1,6,2,255,stimuli/tools/dremel.jpg,Toolbox,2,3
2,1,7,1,111,stimuli/animals/cockatiel.jpg,Birds,2,3
2,1,8,2,270,stimuli/tools/microscope.jpg,Household,1,1
2,1,9,1,165,stimuli/animals/caterpillar.jpg,Invertebrates,1,2
2,1,10,2,218,stimuli/tools/drillbit.jpg,Powertools,1,2
2,1,11,2,345,stimuli/tools/sewingmachine.jpg,Household,1,1
2,1,12,2,300,stimuli/tools/digitalcamera.jpg,Devices,2,3
2,1,13,1,126,stimuli/animals/redpanda.jpg,Mammals,2,3
2,1,14,1,133,stimuli/animals/stinkbug.jpg,Invertebrates,2,3
2,1,15,2,238,stimuli/tools/edger.jpg,Powertools,1,1
2,1,16,2,311,stimuli/tools/curlingiron.jpg,Household,1,2
2,1,17,2,319,stimuli/tools/telescope.jpg,Household,1,2
2,1,18,1,4,stimuli/animals/cow.jpg,Mammals,2,3
2,1,19,2,293,stimuli/tools/calculator.jpg,Devices,1,2
2,1,20,2,222,stimuli/tools/measuringcups.jpg,Household,1,1
2,1,21,1,135,stimuli/animals/highlandcow.jpg,Mammals,1,2
2,1,22,1,138,stimuli/animals/angelfish.jpg,SeaDwellers,1,2
2,1,23,2,338,stimuli/tools/tubingbender.jpg,Toolbox,2,3
2,1,24,2,317,stimuli/tools/routerplane.jpg,Toolbox,2,3
2,1,25,1,169,stimuli/animals/halibut.jpg,SeaDwellers,2,3
2,1,26,2,297,stimuli/tools/nails.jpg,Toolbox,1,2
2,1,27,2,357,stimuli/tools/washboard.jpg,Household,2,3
2,1,28,1,48,stimuli/animals/hippo.jpg,Mammals,1,2
2,1,29,1,167,stimuli/animals/leafinsect.jpg,Invertebrates,2,3
2,1,30,2,254,stimuli/tools/toaster.jpg,Household,1,2
2,1,31,1,154,stimuli/animals/mahimahi.jpg,SeaDwellers,2,3
2,1,32,2,350,stimuli/tools/beadingtool.jpg,Toolbox,2,3
2,1,33,1,27,stimuli/animals/tortoise.jpg,ReptilesAmph,2,3
2,1,34,1,108,stimuli/animals/carp.jpg,SeaDwellers,2,3
2,1,35,2,339,stimuli/tools/weldinghelmet.jpg,Toolbox,2,3
2,1,36,2,251,stimuli/tools/measuringdevice.jpg,Toolbox,1,1
2,1,37,1,91,stimuli/animals/bat.jpg,Mammals,1,1
2,1,38,1,122,stimuli/animals/clownfish.jpg,SeaDwellers,2,3
2,1,39,1,159,stimuli/animals/tragopan.jpg,Birds,1,1
2,1,40,2,343,stimuli/tools/duster.jpg,Household,1,1
2,1,41,2,256,stimuli/tools/drillpress.jpg,Powertools,1,1
2,1,42,1,157,stimuli/animals/mole.jpg,Mammals,1,2
2,1,43,1,168,stimuli/animals/bushdog.jpg,Mammals,1,2
2,1,44,1,6,stimuli/animals/pigeon.jpg,Birds,1,1
2,1,45,2,294,stimuli/tools/fertilzerspread.jpg,Household,1,2
2,1,46,2,198,stimuli/tools/electricbreaker.jpg,Powertools,2,3
2,1,47,2,258,stimuli/tools/pizzacutter.jpg,Household,2,3
2,1,48,2,253,stimuli/tools/pencil.jpg,Household,2,3
2,1,49,2,267,stimuli/tools/corkscrew.jpg,Household,1,2
2,1,50,2,325,stimuli/tools/microwave.jpg,Devices,1,1
2,1,51,1,132,stimuli/animals/octopus.jpg,SeaDwellers,2,3
2,1,52,1,153,stimuli/animals/hyena.jpg,Mammals,1,1
2,1,53,2,220,stimuli/tools/jumpercables.jpg,Toolbox,2,3
2,1,54,1,106,stimuli/animals/seahorse.jpg,SeaDwellers,1,1
2,1,55,2,202,stimuli/tools/flashlight.jpg,Household,2,3
2,1,56,1,36,stimuli/animals/seal.jpg,SeaDwellers,2,3
2,1,57,1,85,stimuli/animals/hummingbird.jpg,Birds,1,2
2,1,58,2,189,stimuli/tools/measuringtape.jpg,Toolbox,1,1
2,1,59,2,216,stimuli/tools/viceclamp.jpg,Toolbox,1,2
2,1,60,1,56,stimuli/animals/donkey.jpg,Mammals,2,3
2,1,61,2,190,stimuli/tools/ruler.jpg,Household,1,1
2,1,62,1,151,stimuli/animals/flounder.jpg,SeaDwellers,1,1
2,1,63,1,95,stimuli/animals/prairiedog.jpg,Mammals,1,1
2,1,64,1,5,stimuli/animals/horse.jpg,Mammals,2,3
2,1,65,1,63,stimuli/animals/marlin.jpg,SeaDwellers,2,3
2,1,66,1,13,stimuli/animals/shark.jpg,SeaDwellers,1,2
2,1,67,1,12,stimuli/animals/racoon.jpg,Mammals,1,2
2,1,68,2,318,stimuli/tools/stopwatch.jpg,Devices,1,2
2,1,69,1,75,stimuli/animals/snail.jpg,Invertebrates,1,2
2,1,70,2,269,stimuli/tools/magnifyingglass.jpg,Household,1,1
2,1,71,1,113,stimuli/animals/moth.jpg,Invertebrates,1,1
2,1,72,2,316,stimuli/tools/grapplinghook.jpg,Toolbox,1,1
2,1,73,2,313,stimuli/tools/airpump.jpg,Household,1,1
2,1,74,1,22,stimuli/animals/giraffe.jpg,Mammals,2,3
2,1,75,2,323,stimuli/tools/weldershammer.jpg,Toolbox,1,1
2,1,76,2,205,stimuli/tools/wheelbarrow.jpg,Household,1,1
2,1,77,1,34,stimuli/animals/owl.jpg,Birds,1,1
2,1,78,1,19,stimuli/animals/panda.jpg,Mammals,2,3
2,1,79,2,237,stimuli/tools/computermouse.jpg,Devices,2,3
2,1,80,1,123,stimuli/animals/earthworm.jpg,Invertebrates,1,1
2,1,81,1,71,stimuli/animals/butterfly.jpg,Invertebrates,1,2
2,1,82,1,41,stimuli/animals/monkey.jpg,Mammals,1,2
2,1,83,1,104,stimuli/animals/lemur.jpg,Mammals,2,3
2,1,84,2,239,stimuli/tools/iron.jpg,Household,2,3
2,1,85,1,33,stimuli/animals/cheetah.jpg,Mammals,2,3
2,1,86,2,263,stimuli/tools/mixer.jpg,Household,2,3
2,1,87,1,15,stimuli/animals/brown_bear.jpg,Mammals,1,2
2,1,88,2,272,stimuli/tools/sawblade.jpg,Toolbox,2,3
2,1,89,2,349,stimuli/tools/faxmachine.jpg,Devices,2,3
2,1,90,2,209,stimuli/tools/broom.jpg,Household,2,3
2,1,91,1,137,stimuli/animals/springhare.jpg,Mammals,1,1
2,1,92,2,228,stimuli/tools/cuttingboard.jpg,Household,2,3
2,1,93,1,110,stimuli/animals/beta.jpg,SeaDwellers,2,3
2,1,94,2,335,stimuli/tools/binoculars.jpg,Household,2,3
2,1,95,1,142,stimuli/animals/palmcockatoo.jpg,Birds,2,3
2,1,96,2,290,stimuli/tools/stroller.jpg,Household,2,3
2,1,97,1,147,stimuli/animals/beardeddragon.jpg,ReptilesAmph,1,2
2,1,98,2,301,stimuli/tools/electricsander.jpg,Powertools,2,3
2,1,99,1,86,stimuli/animals/turkey.jpg,Birds,1,2
2,1,100,1,83,stimuli/animals/dramaderry.jpg,Mammals,2,3
2,1,101,2,213,stimuli/tools/sledgehammer.jpg,Toolbox,2,3
2,1,102,1,170,stimuli/animals/partridge.jpg,Birds,1,2
2,1,103,1,31,stimuli/animals/ram.jpg,Mammals,1,2
2,1,104,1,77,stimuli/animals/watusi.jpg,Mammals,1,2
2,1,105,1,87,stimuli/animals/wildabeast.jpg,Mammals,2,3
2,1,106,1,7,stimuli/animals/sheep.jpg,Mammals,1,1
2,1,107,1,136,stimuli/animals/iguana.jpg,ReptilesAmph,1,2
2,1,108,1,30,stimuli/animals/pig.jpg,Mammals,2,3
2,1,109,2,186,stimuli/tools/drill.jpg,Powertools,2,3
2,1,110,2,191,stimuli/tools/ladder.jpg,Household,2,3
2,1,111,2,276,stimuli/tools/scratchawl.jpg,Toolbox,1,2
2,1,112,1,121,stimuli/animals/chinchilla.jpg,Mammals,2,3
2,1,113,2,268,stimuli/tools/fan.jpg,Household,1,2
2,1,114,1,94,stimuli/animals/jackal.jpg,Mammals,2,3
2,1,115,2,328,stimuli/tools/stove.jpg,Household,2,3
2,1,116,2,196,stimuli/tools/pruner.jpg,Toolbox,1,1
2,1,117,1,10,stimuli/animals/chicken.jpg,Birds,2,3
2,1,118,2,331,stimuli/tools/gentssaw.jpg,Toolbox,1,1
2,1,119,1,178,stimuli/animals/beetle.jpg,Invertebrates,2,3
2,1,120,2,181,stimuli/tools/hammer.jpg,Toolbox,2,3
2,1,121,2,265,stimuli/tools/planer.jpg,Toolbox,2,3
2,1,122,1,172,stimuli/animals/plantbug.jpg,Invertebrates,1,1
2,1,123,2,271,stimuli/tools/oven.jpg,Household,2,3
2,1,124,2,326,stimuli/tools/ropeandpulley.jpg,Household,1,2
2,1,125,2,204,stimuli/tools/spoon.jpg,Household,2,3
2,1,126,1,8,stimuli/animals/lion.jpg,Mammals,1,1
2,1,127,2,333,stimuli/tools/treadmill.jpg,Devices,2,3
2,1,128,2,229,stimuli/tools/hedgeshears.jpg,Powertools,1,2
